seed,k,train_condition,train_snr,test_snr,macro_ap,macro_auc,accuracy
0,2,C,,-5,0.4900388899155949,0.7980623379119758,0.40298507462686567
0,2,C,,0,0.6472634228817141,0.8635421027913113,0.5634328358208955
0,2,C,,5,0.7437901391208054,0.9043644435248248,0.6194029850746269
0,2,C,,10,0.8107123183696777,0.932710749964969,0.7052238805970149
0,2,M,,-5,0.559645308980608,0.8331943360375823,0.5447761194029851
0,2,M,,0,0.6392796977230724,0.8761189644717885,0.6268656716417911
0,2,M,,5,0.7175105305285246,0.9020451172052592,0.6492537313432836
0,2,M,,10,0.7761629749174622,0.9257548263827485,0.6902985074626866
0,2,S,5.0,-5,0.5559066555915472,0.8239214967080307,0.5186567164179104
0,2,S,5.0,0,0.6830314019858149,0.8819763727393395,0.5970149253731343
0,2,S,5.0,5,0.7400699642213595,0.9090105714304586,0.6604477611940298
0,2,S,5.0,10,0.7798288487860214,0.9252614287502696,0.6940298507462687
0,4,C,,-5,0.5313899277551021,0.8221919163024224,0.4552238805970149
0,4,C,,0,0.6621028948741825,0.8778392010791005,0.5932835820895522
0,4,C,,5,0.7577903315191602,0.914375517277109,0.6940298507462687
0,4,C,,10,0.8114353394458623,0.9362847851382708,0.7388059701492538
0,4,M,,-5,0.6275389582667623,0.8519120628246627,0.5970149253731343
0,4,M,,0,0.6881926273360998,0.8856729495614267,0.667910447761194
0,4,M,,5,0.7527933932828087,0.9112971284592019,0.7014925373134329
0,4,M,,10,0.7976362999571062,0.928764980277422,0.7350746268656716
0,4,S,5.0,-5,0.6186713252342441,0.8732122190834551,0.5932835820895522
0,4,S,5.0,0,0.744802424615968,0.9236428094653908,0.6417910447761194
0,4,S,5.0,5,0.8040482443736197,0.9443635162951737,0.7089552238805971
0,4,S,5.0,10,0.8367251356832668,0.9530181267048884,0.7388059701492538
0,8,C,,-5,0.4683242338529636,0.7859163496959634,0.3656716417910448
0,8,C,,0,0.6157235273056813,0.859009956914992,0.5261194029850746
0,8,C,,5,0.7023373345380092,0.9000044620955656,0.6343283582089553
0,8,C,,10,0.7647733475145646,0.9288009501963741,0.7313432835820896
0,8,M,,-5,0.6895801858202641,0.8904937265361653,0.6529850746268657
0,8,M,,0,0.8128466150784035,0.9291831274446508,0.746268656716418
0,8,M,,5,0.860221157670205,0.9477118586866108,0.8059701492537313
0,8,M,,10,0.8965638857571354,0.9610162136968894,0.8395522388059702
0,8,S,5.0,-5,0.66707527754732,0.8871251271112129,0.5895522388059702
0,8,S,5.0,0,0.802790767825809,0.9413486208440627,0.6902985074626866
0,8,S,5.0,5,0.8744623437604536,0.9620312136485286,0.8134328358208955
0,8,S,5.0,10,0.9194958514645114,0.9761023049622679,0.8544776119402985
0,16,C,,-5,0.48823544591442813,0.8027761058574009,0.41044776119402987
0,16,C,,0,0.6416322205706131,0.8831283073078527,0.5522388059701493
0,16,C,,5,0.7644154253997364,0.9301622081604979,0.6977611940298507
0,16,C,,10,0.8664295471919761,0.9569463049254571,0.7910447761194029
0,16,M,,-5,0.7289310817511876,0.9052777425018376,0.6791044776119403
0,16,M,,0,0.8345717898498097,0.9453330880499153,0.7910447761194029
0,16,M,,5,0.8986109272484281,0.9690421529526623,0.8395522388059702
0,16,M,,10,0.932121700980164,0.9793112784069626,0.8656716417910447
0,16,S,5.0,-5,0.6983969936134681,0.9070893363740968,0.6156716417910447
0,16,S,5.0,0,0.8371228944773058,0.9499619598960011,0.7873134328358209
0,16,S,5.0,5,0.8968304668515541,0.9686428679624812,0.8507462686567164
0,16,S,5.0,10,0.936833476898219,0.9820287255307171,0.8768656716417911
0,32,C,,-5,0.5815387760035284,0.8524762022924005,0.41044776119402987
0,32,C,,0,0.756940487298066,0.921977915930798,0.5746268656716418
0,32,C,,5,0.8479358177325704,0.9537157564437723,0.7089552238805971
0,32,C,,10,0.9097912100043537,0.9739738795624276,0.7723880597014925
0,32,M,,-5,0.7515145395711055,0.9069014798539988,0.664179104477612
0,32,M,,0,0.8482843780349876,0.9433791555130988,0.7761194029850746
0,32,M,,5,0.9035151495727305,0.9666131174261411,0.8470149253731343
0,32,M,,10,0.9507783600556239,0.9828349374794358,0.8843283582089553
0,32,S,5.0,-5,0.7133445308902303,0.911915772742126,0.6567164179104478
0,32,S,5.0,0,0.8457137302813679,0.9550767752370357,0.7723880597014925
0,32,S,5.0,5,0.9095681628840334,0.9730835776404577,0.8432835820895522
0,32,S,5.0,10,0.9405694491493394,0.9848754158747959,0.8805970149253731
1,2,C,,-5,0.48266133137393835,0.7777702660337255,0.34701492537313433
1,2,C,,0,0.6480866221670519,0.8642724615275845,0.4552238805970149
1,2,C,,5,0.753215562971081,0.909276473826637,0.5634328358208955
1,2,C,,10,0.8239565792547708,0.9344423058958178,0.6567164179104478
1,2,M,,-5,0.6082894879743194,0.8596351587828887,0.5261194029850746
1,2,M,,0,0.7153570285359964,0.9080967092655571,0.6380597014925373
1,2,M,,5,0.7943682846551872,0.9389580889945595,0.7014925373134329
1,2,M,,10,0.8510216699256449,0.9560662258940171,0.753731343283582
1,2,S,5.0,-5,0.6026918088399427,0.863166502278195,0.4962686567164179
1,2,S,5.0,0,0.7509363209465191,0.9206120223555978,0.6492537313432836
1,2,S,5.0,5,0.8418307742437255,0.9568553754263024,0.746268656716418
1,2,S,5.0,10,0.8924882363268115,0.974585692726153,0.8134328358208955
1,4,C,,-5,0.4113310147270485,0.7645375562704851,0.3246268656716418
1,4,C,,0,0.5579672536067943,0.8396897424209191,0.4291044776119403
1,4,C,,5,0.6808660478213703,0.892515765448792,0.5559701492537313
1,4,C,,10,0.7850028641180499,0.9296527440165481,0.6194029850746269
1,4,M,,-5,0.5723696820981214,0.845626681886073,0.5895522388059702
1,4,M,,0,0.6967877542843138,0.8909608453191548,0.6604477611940298
1,4,M,,5,0.7548617157803096,0.9116487146274295,0.7350746268656716
1,4,M,,10,0.80850401286346,0.9252095055391507,0.7835820895522388
1,4,S,5.0,-5,0.6061034894662367,0.8711018900305462,0.5634328358208955
1,4,S,5.0,0,0.7622961796460209,0.9295040545929067,0.667910447761194
1,4,S,5.0,5,0.8487004163570784,0.9565386409237961,0.7313432835820896
1,4,S,5.0,10,0.8911483593481873,0.9708682061142072,0.8022388059701493
1,8,C,,-5,0.45826557013793173,0.7933513026456802,0.3582089552238806
1,8,C,,0,0.6298649567885402,0.860311910597288,0.5074626865671642
1,8,C,,5,0.7147396170891651,0.8979777573264949,0.6455223880597015
1,8,C,,10,0.8047021819118966,0.9347390042842247,0.7276119402985075
1,8,M,,-5,0.6402900841884577,0.8755235865159826,0.6231343283582089
1,8,M,,0,0.7691002305635515,0.9282615585312647,0.7164179104477612
1,8,M,,5,0.8543668079063585,0.9581045368332219,0.7947761194029851
1,8,M,,10,0.8977295519249294,0.9747626822338916,0.8097014925373134
1,8,S,5.0,-5,0.6468394337275903,0.878223593766495,0.582089552238806
1,8,S,5.0,0,0.7974378156305152,0.9352687920803906,0.7164179104477612
1,8,S,5.0,5,0.8833337228522303,0.9612861075296965,0.7947761194029851
1,8,S,5.0,10,0.9212137849390355,0.9767481010486193,0.835820895522388
1,16,C,,-5,0.5139617010841285,0.8318602058911215,0.44402985074626866
1,16,C,,0,0.7000904616234964,0.9006637710049897,0.6194029850746269
1,16,C,,5,0.8131018655028649,0.937159771679457,0.7313432835820896
1,16,C,,10,0.8910621147651744,0.9629791117216888,0.7947761194029851
1,16,M,,-5,0.6997084995963762,0.8994244315797845,0.6977611940298507
1,16,M,,0,0.8111105058172245,0.9395835780255674,0.75
1,16,M,,5,0.8784069013445281,0.9628103117545085,0.8134328358208955
1,16,M,,10,0.9080908554680871,0.9690253597043336,0.8731343283582089
1,16,S,5.0,-5,0.6733395536240349,0.8933100532005984,0.6156716417910447
1,16,S,5.0,0,0.8482485953602088,0.9587699088803925,0.7686567164179104
1,16,S,5.0,5,0.9139526406599019,0.9750874641476323,0.8507462686567164
1,16,S,5.0,10,0.9394133936104515,0.9844487300683914,0.8768656716417911
1,32,C,,-5,0.5588956244858448,0.8404670300845382,0.4701492537313433
1,32,C,,0,0.7455456499563156,0.9173302329015198,0.6380597014925373
1,32,C,,5,0.8356923851998219,0.9455409281266601,0.746268656716418
1,32,C,,10,0.9005412202801913,0.9716503513767284,0.8097014925373134
1,32,M,,-5,0.7632604152874355,0.9168978008166829,0.6791044776119403
1,32,M,,0,0.8676586360076836,0.9527161326645094,0.7835820895522388
1,32,M,,5,0.9236090436433017,0.9738650914720987,0.8582089552238806
1,32,M,,10,0.9421841012779992,0.9810471521627583,0.8955223880597015
1,32,S,5.0,-5,0.7197781394264869,0.9219286915174157,0.6417910447761194
