,,,macro_ap,macro_ap,macro_auc,macro_auc,accuracy,accuracy
,,,mean,std,mean,std,mean,std
k,train_condition,test_snr,,,,,,
2,C,-5,0.5008,0.0275,0.8014,0.0172,0.4075,0.0438
2,C,0,0.6606,0.0135,0.8754,0.0112,0.5351,0.0577
2,C,5,0.7613,0.0192,0.9164,0.0118,0.6261,0.0628
2,C,10,0.8267,0.0195,0.942,0.0108,0.7045,0.0477
2,M,-5,0.5827,0.0261,0.8489,0.0109,0.5351,0.0254
2,M,0,0.6747,0.0505,0.8904,0.0177,0.6149,0.0223
2,M,5,0.7459,0.057,0.9169,0.0179,0.6657,0.0376
2,M,10,0.7922,0.0552,0.9329,0.0165,0.7045,0.0427
2,S,-5,0.5735,0.0349,0.8486,0.017,0.4925,0.023
2,S,0,0.707,0.0526,0.8985,0.0175,0.6142,0.0289
2,S,5,0.7806,0.0638,0.9266,0.0219,0.6955,0.0563
2,S,10,0.8284,0.0639,0.9441,0.0229,0.7366,0.0585
4,C,-5,0.4819,0.0457,0.799,0.0241,0.3925,0.0463
4,C,0,0.6335,0.0448,0.8664,0.017,0.5142,0.0582
4,C,5,0.7366,0.0353,0.9082,0.013,0.6194,0.051
4,C,10,0.8098,0.0249,0.9361,0.0108,0.6851,0.0437
4,M,-5,0.6139,0.0517,0.8583,0.0212,0.6015,0.0378
4,M,0,0.7153,0.0516,0.8988,0.0211,0.6784,0.0492
4,M,5,0.7754,0.0424,0.9219,0.0192,0.7187,0.0357
4,M,10,0.8146,0.0303,0.9336,0.0142,0.7537,0.0381
4,S,-5,0.6207,0.0618,0.874,0.0235,0.5679,0.0586
4,S,0,0.7578,0.0482,0.9249,0.0124,0.6776,0.0515
4,S,5,0.8343,0.0342,0.9493,0.0066,0.7455,0.0409
4,S,10,0.8749,0.0301,0.9636,0.0076,0.7888,0.0419
8,C,-5,0.4784,0.0392,0.7949,0.0299,0.3858,0.0565
8,C,0,0.6326,0.0399,0.8686,0.0224,0.5463,0.0511
8,C,5,0.7275,0.0348,0.9106,0.0138,0.6582,0.0399
8,C,10,0.8089,0.0319,0.9417,0.0096,0.741,0.018
8,M,-5,0.6511,0.032,0.877,0.0155,0.6254,0.0207
8,M,0,0.7751,0.0314,0.9239,0.0112,0.7216,0.017
8,M,5,0.8444,0.0191,0.9488,0.0084,0.791,0.0102
8,M,10,0.8786,0.0232,0.961,0.0107,0.8172,0.0199
8,S,-5,0.6498,0.0212,0.8799,0.012,0.5791,0.0155
8,S,0,0.8068,0.0144,0.9375,0.0086,0.7172,0.0178
8,S,5,0.8866,0.0145,0.9627,0.0054,0.8134,0.0188
8,S,10,0.9227,0.0111,0.9764,0.0062,0.8597,0.0176
16,C,-5,0.5202,0.0221,0.8234,0.0141,0.441,0.0273
16,C,0,0.6948,0.0329,0.8989,0.0093,0.609,0.0488
16,C,5,0.8,0.0271,0.9406,0.0079,0.7216,0.028
16,C,10,0.8842,0.0146,0.9627,0.0041,0.809,0.0157
16,M,-5,0.7343,0.0328,0.9126,0.0129,0.6888,0.0184
16,M,0,0.8407,0.0229,0.9499,0.0085,0.7791,0.021
16,M,5,0.8951,0.0149,0.9682,0.0052,0.8299,0.0151
16,M,10,0.9181,0.0173,0.9748,0.0065,0.8612,0.0085
16,S,-5,0.7014,0.0382,0.9052,0.0139,0.6343,0.0211
16,S,0,0.849,0.0247,0.9551,0.0083,0.7731,0.0193
16,S,5,0.9124,0.0184,0.9745,0.0079,0.841,0.0241
16,S,10,0.9388,0.0177,0.984,0.0055,0.8731,0.0127
32,C,-5,0.5632,0.0217,0.8464,0.0063,0.4373,0.0283
32,C,0,0.7387,0.0136,0.9151,0.0046,0.606,0.0347
32,C,5,0.8348,0.0137,0.9472,0.0044,0.7291,0.0148
32,C,10,0.9028,0.0061,0.971,0.0022,0.7903,0.0157
32,M,-5,0.7618,0.0244,0.9205,0.0141,0.6873,0.0212
32,M,0,0.8634,0.0193,0.9556,0.0094,0.7903,0.0187
32,M,5,0.9183,0.0143,0.9752,0.0056,0.8537,0.0081
32,M,10,0.9451,0.0062,0.9831,0.0013,0.8873,0.011
32,S,-5,0.7136,0.0143,0.9112,0.0089,0.6403,0.027
32,S,0,0.8653,0.0202,0.9592,0.0057,0.7903,0.0178
32,S,5,0.9283,0.0194,0.9781,0.0069,0.8537,0.0152
32,S,10,0.9535,0.0152,0.9875,0.0043,0.8925,0.0166
