seed,k,train_condition,train_snr,test_snr,macro_ap,macro_auc,accuracy
0,2,C,,-5,0.5505497266156026,0.8521928983896683,0.47761194029850745
0,2,C,,0,0.7388401464519788,0.9200176375511403,0.6268656716417911
0,2,C,,5,0.8417172320260411,0.9522782245038083,0.7574626865671642
0,2,C,,10,0.9108436105786538,0.9745542093636949,0.8059701492537313
0,2,M,,-5,0.519573750724301,0.8080759948157539,0.5298507462686567
0,2,M,,0,0.6343446021160762,0.8656481162444244,0.6231343283582089
0,2,M,,5,0.7187156117589278,0.8979638243993934,0.7164179104477612
0,2,M,,10,0.7681855098671585,0.9189619081113797,0.7238805970149254
0,2,S,5.0,-5,0.5213524621907902,0.8063501174915292,0.48507462686567165
0,2,S,5.0,0,0.6538487320778155,0.862034764397327,0.6044776119402985
0,2,S,5.0,5,0.7111856296302573,0.891242520510171,0.6231343283582089
0,2,S,5.0,10,0.7415060148087351,0.9094326467754223,0.6492537313432836
0,4,C,,-5,0.5753449718334228,0.8528091546243769,0.4552238805970149
0,4,C,,0,0.742076662501016,0.9173778049678701,0.6194029850746269
0,4,C,,5,0.850160321141993,0.9509567279532466,0.746268656716418
0,4,C,,10,0.9140490388712929,0.9698173966273264,0.8283582089552238
0,4,M,,-5,0.6253794313118506,0.8639372747798123,0.5932835820895522
0,4,M,,0,0.70979485675248,0.8945979471344033,0.6604477611940298
0,4,M,,5,0.7851774737479914,0.9222794159902891,0.7164179104477612
0,4,M,,10,0.8078108321403427,0.9339279886986963,0.7611940298507462
0,4,S,5.0,-5,0.6199379518816618,0.8706054818248044,0.5932835820895522
0,4,S,5.0,0,0.742970381548745,0.9171063834011051,0.7238805970149254
0,4,S,5.0,5,0.7960100667606255,0.9375369337145776,0.7350746268656716
0,4,S,5.0,10,0.8381236657779222,0.9531383462624896,0.7611940298507462
0,8,C,,-5,0.5603829538234139,0.8503522673808764,0.3917910447761194
0,8,C,,0,0.729754790064392,0.9106923800952292,0.5373134328358209
0,8,C,,5,0.8210387799317561,0.943125374431275,0.6977611940298507
0,8,C,,10,0.8962688767928163,0.9677721112664204,0.7761194029850746
0,8,M,,-5,0.7091613681741779,0.904863061978547,0.6417910447761194
0,8,M,,0,0.8416898482445637,0.9494913022176535,0.746268656716418
0,8,M,,5,0.900102136209215,0.9692907210104893,0.8246268656716418
0,8,M,,10,0.924425878364144,0.9789705969043228,0.8768656716417911
0,8,S,5.0,-5,0.6555612212454516,0.8833565891827279,0.6082089552238806
0,8,S,5.0,0,0.8163855293931169,0.9432739911686848,0.746268656716418
0,8,S,5.0,5,0.8972088104198175,0.9704466244069572,0.8507462686567164
0,8,S,5.0,10,0.9376962124186876,0.9828683516330328,0.8656716417910447
0,16,C,,-5,0.5581212770384729,0.8257603208575525,0.4216417910447761
0,16,C,,0,0.7248399238656341,0.9005732032105888,0.5559701492537313
0,16,C,,5,0.8205014715347989,0.9402246360093557,0.6865671641791045
