,,,macro_ap,macro_ap,macro_auc,macro_auc,accuracy,accuracy
,,,mean,std,mean,std,mean,std
k,train_condition,test_snr,,,,,,
2,C,-5,0.5301,0.0258,0.8301,0.0214,0.4403,0.0418
2,C,0,0.6965,0.0336,0.898,0.0188,0.5806,0.0442
2,C,5,0.7938,0.0345,0.9318,0.0147,0.7045,0.0357
2,C,10,0.8655,0.0284,0.9557,0.013,0.7851,0.016
2,M,-5,0.5718,0.0435,0.836,0.0207,0.5433,0.0244
2,M,0,0.673,0.0457,0.8815,0.0172,0.6284,0.0306
2,M,5,0.7531,0.053,0.9147,0.0154,0.6925,0.0366
2,M,10,0.8011,0.0561,0.9346,0.0166,0.7299,0.0426
2,S,-5,0.5548,0.0371,0.8295,0.0161,0.5052,0.0261
2,S,0,0.6945,0.0588,0.8896,0.0223,0.6187,0.0294
2,S,5,0.7697,0.0709,0.9212,0.0255,0.691,0.0471
2,S,10,0.8186,0.0868,0.9398,0.0284,0.7358,0.0615
4,C,-5,0.5509,0.0214,0.8377,0.0108,0.4373,0.0159
4,C,0,0.7241,0.0196,0.9077,0.0103,0.6037,0.0159
4,C,5,0.8266,0.0228,0.9447,0.0092,0.7299,0.0155
4,C,10,0.8965,0.0165,0.9675,0.0063,0.8015,0.021
4,M,-5,0.6422,0.0512,0.8799,0.0167,0.5963,0.0542
4,M,0,0.762,0.0556,0.9207,0.018,0.6955,0.0456
4,M,5,0.8274,0.0353,0.9446,0.0134,0.7515,0.0431
4,M,10,0.8625,0.0356,0.9576,0.0141,0.8022,0.0311
4,S,-5,0.6369,0.0539,0.874,0.0247,0.5664,0.0572
4,S,0,0.7831,0.0567,0.9295,0.0203,0.706,0.0591
4,S,5,0.8529,0.0486,0.9548,0.0119,0.7754,0.0529
4,S,10,0.8941,0.0403,0.9697,0.01,0.8224,0.0445
8,C,-5,0.5368,0.028,0.8332,0.0133,0.403,0.0132
8,C,0,0.7185,0.0229,0.9052,0.0068,0.5679,0.0237
8,C,5,0.8147,0.0131,0.9418,0.0051,0.697,0.0161
8,C,10,0.8851,0.0077,0.9655,0.002,0.7821,0.0123
8,M,-5,0.6839,0.0165,0.8961,0.0099,0.6418,0.0109
8,M,0,0.8182,0.015,0.9436,0.0062,0.753,0.0232
8,M,5,0.8881,0.0183,0.9659,0.0067,0.8194,0.0172
8,M,10,0.9178,0.0161,0.9761,0.0071,0.8627,0.0145
8,S,-5,0.6496,0.0133,0.8801,0.0112,0.5881,0.0197
8,S,0,0.8135,0.0101,0.9425,0.0026,0.7396,0.0152
8,S,5,0.8963,0.0189,0.97,0.0035,0.8291,0.0196
8,S,10,0.9324,0.0179,0.9819,0.0026,0.8627,0.0081
16,C,-5,0.5504,0.0168,0.8361,0.0167,0.4246,0.0309
16,C,0,0.7255,0.0235,0.9077,0.0131,0.5739,0.0428
16,C,5,0.829,0.0134,0.9437,0.0062,0.7052,0.028
16,C,10,0.8949,0.0077,0.9689,0.0029,0.7873,0.0177
16,M,-5,0.723,0.0189,0.9132,0.0057,0.6552,0.0429
16,M,0,0.8548,0.0142,0.9585,0.0029,0.7873,0.0297
16,M,5,0.9139,0.0084,0.9772,0.0046,0.853,0.0186
16,M,10,0.9431,0.009,0.9849,0.0026,0.8836,0.0161
16,S,-5,0.6579,0.0436,0.8855,0.0162,0.5978,0.0445
16,S,0,0.8239,0.0188,0.9453,0.0091,0.7575,0.0208
16,S,5,0.9054,0.017,0.9736,0.0082,0.8403,0.0133
16,S,10,0.9365,0.015,0.9832,0.0063,0.8821,0.0151
32,C,-5,0.5631,0.0141,0.8389,0.0067,0.4284,0.0196
32,C,0,0.7369,0.0111,0.9102,0.0062,0.5925,0.0178
32,C,5,0.8351,0.0099,0.9494,0.0012,0.7194,0.0116
32,C,10,0.9027,0.006,0.9706,0.0018,0.7866,0.0097
32,M,-5,0.7505,0.0216,0.9226,0.0076,0.6761,0.026
32,M,0,0.8888,0.0104,0.9671,0.006,0.8052,0.01
32,M,5,0.9371,0.0095,0.9829,0.0034,0.8672,0.0107
32,M,10,0.9542,0.0087,0.9884,0.0022,0.909,0.0151
32,S,-5,0.6857,0.0154,0.8993,0.0073,0.5948,0.0172
32,S,0,0.8472,0.0145,0.9536,0.0036,0.7627,0.0111
32,S,5,0.9221,0.0135,0.9777,0.0063,0.8493,0.0136
32,S,10,0.95,0.0139,0.9867,0.0042,0.8836,0.021
