k,train_condition,test_snr,class_idx,class_name,ap_mean,ap_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
2,C,-5,0,BottlenoseDolphin,0.5466,0.0495,0.8886,0.0469,0.2921,0.0203,0.8095,0.1347,0.4289,0.0409
2,C,-5,1,BowheadWhale,0.4488,0.0283,0.7913,0.0059,0.55,0.0707,0.1395,0.0,0.2223,0.0058
2,C,-5,2,ClymeneDolphin,0.6303,0.0254,0.8734,0.0167,0.7337,0.0623,0.3953,0.0987,0.5073,0.0683
2,C,-5,3,Frasherdolphin,0.4439,0.048,0.8695,0.0209,0.2903,0.0798,0.8594,0.0663,0.4289,0.0807
2,C,-5,4,HumpbackWhale,0.5989,0.0314,0.818,0.0013,0.6928,0.0574,0.2826,0.0615,0.3977,0.0524
2,C,-5,5,KillerWhale,0.7848,0.0089,0.9502,0.0067,0.7854,0.0108,0.5238,0.0337,0.6283,0.0277
2,C,-5,6,NorthernRightWhale,0.3309,0.0218,0.7042,0.0205,0.3592,0.013,0.2561,0.1207,0.292,0.0883
2,M,-5,0,BottlenoseDolphin,0.4351,0.1448,0.844,0.0671,0.4008,0.0134,0.5952,0.2357,0.4712,0.0879
2,M,-5,1,BowheadWhale,0.5147,0.0557,0.809,0.0137,0.4711,0.0024,0.5698,0.0493,0.5153,0.0216
2,M,-5,2,ClymeneDolphin,0.5749,0.1499,0.8027,0.0724,0.6271,0.1607,0.4535,0.0164,0.5232,0.0682
2,M,-5,3,Frasherdolphin,0.6419,0.0244,0.9163,0.011,0.5266,0.0376,0.7656,0.0663,0.624,0.0484
2,M,-5,4,HumpbackWhale,0.4446,0.0745,0.71,0.0179,0.5769,0.1088,0.3478,0.0307,0.4335,0.0548
2,M,-5,5,KillerWhale,0.784,0.0903,0.9379,0.0407,0.789,0.1056,0.5238,0.101,0.6216,0.0393
2,M,-5,6,NorthernRightWhale,0.3919,0.0326,0.6853,0.0134,0.3609,0.007,0.439,0.1035,0.3929,0.0383
2,S,-5,0,BottlenoseDolphin,0.485,0.0577,0.8943,0.0037,0.3864,0.1607,0.5952,0.3704,0.4069,0.0098
2,S,-5,1,BowheadWhale,0.5173,0.1014,0.8171,0.0369,0.4878,0.0959,0.5349,0.0658,0.5099,0.0824
2,S,-5,2,ClymeneDolphin,0.6016,0.0861,0.7982,0.0465,0.6409,0.3507,0.4419,0.0987,0.4845,0.0567
2,S,-5,3,Frasherdolphin,0.6833,0.0815,0.9253,0.017,0.4956,0.0062,0.8125,0.0884,0.6146,0.0207
2,S,-5,4,HumpbackWhale,0.4604,0.1968,0.6731,0.0798,0.7227,0.2507,0.2283,0.0461,0.3372,0.0223
2,S,-5,5,KillerWhale,0.8535,0.0703,0.9639,0.0197,0.8706,0.0998,0.4762,0.1347,0.6045,0.0879
2,S,-5,6,NorthernRightWhale,0.3283,0.0306,0.6683,0.008,0.323,0.0253,0.4024,0.0517,0.3565,0.005
